datetime,Open,High,Low,Close,Volume
1999-01-22 09:30:00,1.74,1.75,1.74,1.75,3305020.0
1999-01-22 09:45:00,1.75,1.75,1.75,1.75,2999869.0
1999-01-22 10:00:00,1.74,1.74,1.74,1.74,2044986.0
1999-01-22 10:15:00,1.74,1.75,1.74,1.74,2008307.0
1999-01-22 10:30:00,1.73,1.73,1.73,1.73,2481973.0
1999-01-22 10:45:00,1.72,1.72,1.72,1.72,3221754.0
1999-01-22 11:00:00,1.72,1.72,1.72,1.72,2993550.0
1999-01-22 11:15:00,1.72,1.72,1.72,1.72,3174041.0
1999-01-22 11:30:00,1.71,1.72,1.71,1.72,3235525.0
1999-01-22 11:45:00,1.71,1.72,1.71,1.72,2575875.0
1999-01-22 12:00:00,1.71,1.71,1.71,1.71,2308799.0
1999-01-22 12:15:00,1.69,1.7,1.69,1.7,2980363.0
1999-01-22 12:30:00,1.71,1.71,1.7,1.71,2499506.0
1999-01-22 12:45:00,1.69,1.69,1.69,1.69,1908006.0
1999-01-22 13:00:00,1.69,1.69,1.69,1.69,3072396.0
1999-01-22 13:15:00,1.69,1.69,1.69,1.69,3285055.0
1999-01-22 13:30:00,1.68,1.68,1.68,1.68,2975570.0
1999-01-22 13:45:00,1.68,1.68,1.68,1.68,2021818.0
1999-01-22 14:00:00,1.67,1.67,1.67,1.67,3085454.0
1999-01-22 14:15:00,1.66,1.66,1.66,1.66,2874003.0
1999-01-22 14:30:00,1.66,1.66,1.66,1.66,1915085.0
1999-01-22 14:45:00,1.65,1.65,1.65,1.65,2741284.0
1999-01-22 15:00:00,1.65,1.65,1.65,1.65,2640163.0
1999-01-22 15:15:00,1.65,1.65,1.65,1.65,1979271.0
1999-01-22 15:30:00,1.65,1.66,1.65,1.65,3292366.0
1999-01-22 15:45:00,1.65,1.65,1.65,1.65,2612875.0
1999-01-25 09:30:00,1.77,1.77,1.77,1.77,513537.0
1999-01-25 09:45:00,1.77,1.77,1.77,1.77,567914.0
1999-01-25 10:00:00,1.77,1.77,1.77,1.77,635574.0
1999-01-25 10:15:00,1.78,1.78,1.78,1.78,435598.0
1999-01-25 10:30:00,1.78,1.78,1.78,1.78,577275.0
1999-01-25 10:45:00,1.78,1.78,1.78,1.78,618691.0
1999-01-25 11:00:00,1.78,1.78,1.78,1.78,376095.0
1999-01-25 11:15:00,1.78,1.78,1.78,1.78,388052.0
